mi_attempt_id	colony_name
19787	jr33712
19889	jr33745
19867	jr33746
19868	jr33744
19874	jr33748
17624	jr31632
18689	CFOAB
18687	FONAB
18570	APEDB
18578	CPZBB
18884	jr32840
18567	GMSBB
18480	STZEB
18824	TCPR1207_ADZJ
19036	H-Kcnip1-DEL993-EM1-B6N
19052	H-GBA-DEL424-EM1-B6N
19505	jr33428
19463	jr33430
19507	jr33432
19504	jr33433
19459	jr33437
19464	jr33447
19561	jr33468
19556	jr33469
19857	jr33684
19876	jr33714
19390	H-Grm4-DEL747-EM1-B6N
19294	H-Galr1-DEL472-EM1-B6N
19875	jr33742
19869	jr33747
19882	jr33769
19890	jr33773
19883	jr33779
19531	H-P2RX2-DEL751-EM1-B6N
19424	BLCAB
19762	CPOAB
19391	H-DGKD-DEL1840-EM1-B6N
18331	PPZEB
19574	SRDAB
19899	UBXAB
19880	jr33799
19884	jr33801
19441	jr33803
19473	CR10487
19591	CR10511
19625	CR10514
19832	CR10528
19933	jr33821
19938	jr33824
19870	jr33834
19822	TCPR1318_AEEQ
19764	TCPR1292_AEER
17469	jr31639
18476	BPFBB
18561	FSDAB
18580	PGSAB
18569	PXNAB
18315	PYZEB
18881	jr32850
18437	CR10258
18552	CR10298
18630	CR10313
18707	CR10338
18720	CR10344
18724	CR10347
18735	CR10357
18745	CR10362
18852	CR10383
18900	BMPAB
18901	CLKAB
18814	CGZBB
18584	IQGAB
18911	PGFAB
18700	PIKAB
18688	SLOAB
18939	jr32892
19454	10336
18662	H-SCN11A-DEL977-EM2-B6N
19314	jr33306
19371	jr33310
19553	jr33434
19526	jr33436
19595	jr33470
19374	jr33474
19527	jr33475
19593	jr33476
19554	jr33481
19308	jr33489
19569	H-PREPL-DEL620INS6-EM2-B6N
19383	TCPR1263_AEDR
19861	jr33686
19790	jr33690
19862	jr33694
19859	jr33695
19864	jr33711
19858	jr33715
19434	jr33743
18889	jr32851
18872	jr32852
18439	CR10260
18494	CR10275
18611	CR10315
18666	CR10328
18667	CR10329
18668	CR10330
18670	CR10332
18675	CR10337
18710	CR10341
18731	CR10353
18732	CR10354
18734	CR10356
18763	CR10367
18785	CR10375
18854	CR10387
18906	CRMAB
18697	IRFAB
18703	NPRAB
18699	OSGAB
18704	PPPAB
18816	RBFAB
18800	STJAB
19452	CR10320
19457	CR10372
19081	jr32894
18826	TCPR1205_ADZT
19300	jr33307
19310	jr33311
19277	CR10461
19442	jr33771
19575	CNKAB
19893	CTZBB
19769	INPBB
19035	H-RGS8-DEL1150INS3DEL7-EM1-B6N
19035	H-RGS8-DEL1150INS3DEL7-EM2-B6N
19425	KCQAB
19752	MCEAB
19584	NDSAB
19576	OATAB
19427	PDZAB
19428	SILAB
19438	jr33798
19863	jr33797
19871	jr33800
19364	CR10478
19476	CR10491
19477	CR10492
19478	CR10493
19783	CR10521
20490	CR10522
19443	jr33814
19942	jr33813
19546	H-A3GALT2-DEL458-EM1-B6N
19437	jr33822
19945	jr33825
19392	H-PARK7-DEL1803-EM1-B6N
20533	BLA4754
17621	jr31642
18812	TCPR1203_ADZM
18753	jr32861
18549	CR10295
18595	CR10310
18636	CR10323
18665	CR10327
18708	CR10339
18761	CR10364
18774	CR10371
18782	CR10373
18848	CR10377
18850	CR10380
18851	CR10381
18931	CR10397
18821	CKTAB
18794	FLNAB
18941	jr32891
19080	jr32893
19453	CR10326
19455	CR10349
19456	CR10363
18811	TCPR1202_ADZS
19098	jr32907
18987	jr32908
17620	jr31641
19368	jr33308
19405	jr33309
19567	H-TREH-DEL663-EM1-B6N
19888	jr33772
19885	jr33774
19435	jr33776
19439	jr33777
19865	jr33778
19887	jr33780
18575	FUKDB
19753	GLMA6.1b
19430	IMPAB
19896	SNXAB
19440	jr33802
19469	CR10482
19475	CR10489
19570	CR10506
19609	CR10512
19671	jr33815
19546	H-A3GALT2-DEL464-EM2-B6N
19546	H-A3GALT2-DEL479-EM3-B6N
19932	jr33817
19931	jr33823
19936	jr33826
20000	jr33848
19608	jr33849
19977	CR10385
19265	CR10443
